tag             min_meta_client     min_meta_server     
0.0.286         0.7.59              0.8.30              
0.0.287         0.7.59              0.8.30              
0.0.288         0.7.59              0.8.30              
0.0.289         0.7.59              0.8.30              
0.0.290         0.7.59              0.8.30              
0.0.291         0.7.59              0.8.30              
0.0.292         0.7.59              0.8.30              
0.0.293         0.7.59              0.8.30              
0.0.294         0.7.59              0.8.30              
0.0.295         0.7.59              0.8.30              
0.0.296         0.7.59              0.8.30              
0.0.297         0.7.59              0.8.30              
0.0.298         0.7.59              0.8.30              
0.0.299         0.7.59              0.8.30              
0.0.300         0.7.59              0.8.30              
0.0.301         0.7.59              0.8.30              
0.0.302         0.7.59              0.8.30              
0.0.303         0.7.59              0.8.30              
0.0.304         0.7.59              0.8.30              
0.0.305         0.7.59              0.8.30              
0.0.306         0.7.59              0.8.30              
0.0.307         0.7.59              0.8.30              
0.0.308         0.7.59              0.8.30              
0.0.309         0.7.59              0.8.30              
0.0.310         0.7.59              0.8.30              
0.0.311         0.7.59              0.8.30              
0.0.312         0.7.59              0.8.30              
0.0.313         0.7.59              0.8.30              
0.0.314         0.7.59              0.8.30              
0.0.315         0.7.59              0.8.30              
0.0.316         0.7.59              0.8.30              
0.0.317         0.7.59              0.8.30              
0.0.318         0.7.59              0.8.30              
0.0.319         0.7.59              0.8.30              
0.0.320         0.7.59              0.8.30              
0.0.321         0.7.59              0.8.30              
0.0.322         0.7.59              0.8.30              
0.0.323         0.7.59              0.8.30              
0.0.324         0.7.59              0.8.30              
0.0.325         0.7.59              0.8.30              
0.0.326         0.7.59              0.8.30              
0.0.327         0.7.59              0.8.30              
0.0.328         0.7.59              0.8.30              
0.0.329         0.7.59              0.8.30              
0.0.330         0.7.59              0.8.30              
0.0.331         0.7.59              0.8.30              
0.0.332         0.7.59              0.8.30              
0.0.333         0.7.59              0.8.30              
0.0.334         0.7.59              0.8.30              
0.0.335         0.7.59              0.8.30              
0.0.336         0.7.59              0.8.30              
0.0.337         0.7.59              0.8.30              
0.0.338         0.7.59              0.8.30              
0.0.339         0.7.59              0.8.30              
0.0.340         0.7.59              0.8.30              
0.0.341         0.7.59              0.8.30              
0.0.342         0.7.59              0.8.30              
0.0.343         0.7.59              0.8.30              
0.0.344         0.7.59              0.8.30              
0.0.345         0.7.59              0.8.30              
0.0.346         0.7.59              0.8.30              
0.0.347         0.7.59              0.8.30              
0.0.348         0.7.59              0.8.30              
0.0.349         0.7.59              0.8.30              
0.0.350         0.7.59              0.8.30              
0.0.351         0.7.59              0.8.30              
0.0.352         0.7.59              0.8.30              
0.0.353         0.7.59              0.8.30              
0.0.354         0.7.59              0.8.30              
0.0.355         0.7.59              0.8.30              
0.0.356         0.7.59              0.8.30              
0.0.357         0.7.59              0.8.30              
0.0.358         0.7.59              0.8.30              
0.0.359         0.7.59              0.8.30              
0.0.360         0.7.59              0.8.30              
0.0.361         0.7.59              0.8.30              
0.0.362         0.7.59              0.8.30              
0.0.363         0.7.59              0.8.30              
0.0.364         0.7.59              0.8.30              
0.0.365         0.7.59              0.8.30              
0.0.366         0.7.59              0.8.30              
0.0.367         0.7.59              0.8.30              
0.0.368         0.7.59              0.8.30              
0.0.369         0.7.59              0.8.30              
0.0.370         0.7.59              0.8.30              
0.0.371         0.7.59              0.8.30              
0.0.372         0.7.59              0.8.30              
0.0.373         0.7.59              0.8.30              
0.0.374         0.7.59              0.8.30              
0.0.375         0.7.59              0.8.30              
0.0.376         0.7.59              0.8.30              
0.0.377         0.7.59              0.8.30              
0.0.378         0.7.59              0.8.30              
0.0.379         0.7.59              0.8.30              
0.0.380         0.7.59              0.8.30              
0.0.381         0.7.59              0.8.30              
0.0.382         0.7.59              0.8.30              
0.0.383         0.7.59              0.8.30              
0.0.384         0.7.59              0.8.30              
0.0.385         0.7.59              0.8.30              
0.0.386         0.7.59              0.8.30              
0.0.387         0.7.59              0.8.30              
0.0.388         0.7.59              0.8.30              
0.0.389         0.7.59              0.8.30              
0.0.390         0.7.59              0.8.30              
0.0.391         0.7.59              0.8.30              
0.0.392         0.7.59              0.8.30              
0.0.393         0.7.59              0.8.30              
0.0.394         0.7.59              0.8.30              
0.0.395         0.7.59              0.8.30              
0.0.396         0.7.59              0.8.30              
0.0.397         0.7.59              0.8.30              
0.0.398         0.7.59              0.8.30              
0.0.399         0.7.59              0.8.30              
0.0.400         0.7.59              0.8.30              
0.0.401         0.7.59              0.8.30              
0.0.402         0.7.59              0.8.30              
0.0.403         0.7.59              0.8.30              
0.0.404         0.7.59              0.8.30              
0.0.405         0.7.59              0.8.30              
0.0.406         0.7.59              0.8.30              
0.0.407         0.7.59              0.8.30              
0.0.408         0.7.59              0.8.30              
0.0.409         0.7.59              0.8.30              
0.0.410         0.7.59              0.8.30              
0.0.411         0.7.59              0.8.30              
